Region,Comuna,Poblacion,Casos Confirmados
Arica y Parinacota,Arica,247552,41
Arica y Parinacota,Camarones,1233,-
Arica y Parinacota,General Lagos,810,-
Arica y Parinacota,Putre,2515,-
Tarapaca,Alto Hospicio,129999,5
Tarapaca,Camina,1375,-
Tarapaca,Colchane,1583,-
Tarapaca,Huara,3000,-
Tarapaca,Iquique,223463,13
Tarapaca,Pica,5958,-
Tarapaca,Pozo Almonte,17395,-
Antofagasta,Antofagasta,425725,54
Antofagasta,Calama,190336,7
Antofagasta,Maria Elena,6814,-
Antofagasta,Mejillones,14776,-
Antofagasta,Ollagüe,287,-
Antofagasta,San Pedro de Atacama,10434,4
Antofagasta,Sierra Gorda,1746,-
Antofagasta,Taltal,13657,-
Antofagasta,Tocopilla,28079,-
Atacama,Alto del Carmen,5729,-
Atacama,Caldera,19426,-
Atacama,Chanaral,13164,-
Atacama,Copiapo,171766,4
Atacama,Diego de Almagro,14358,-
Atacama,Freirina,7681,-
Atacama,Huasco,11264,-
Atacama,Tierra Amarilla,14312,-
Atacama,Vallenar,57009,-
Coquimbo,Andacollo,11791,-
Coquimbo,Canela,9546,-
Coquimbo,Combarbala,13884,-
Coquimbo,Coquimbo,256735,19
Coquimbo,Illapel,32801,7
Coquimbo,La Higuera,4450,-
Coquimbo,La Serena,249656,12
Coquimbo,Los Vilos,23374,-
Coquimbo,Monte Patria,32527,-
Coquimbo,Ovalle,121269,7
Coquimbo,Paiguano,4675,-
Coquimbo,Punitaqui,12165,-
Coquimbo,Rio Hurtado,4372,-
Coquimbo,Salamanca,29110,4
Coquimbo,Vicuna,29741,-
Valparaiso,Algarrobo,15174,9
Valparaiso,Cabildo,20663,-
Valparaiso,Calera,53591,7
Valparaiso,Calle Larga,16482,-
Valparaiso,Cartagena,25357,-
Valparaiso,Casablanca,29170,-
Valparaiso,Catemu,15213,-
Valparaiso,Concon,45889,7
Valparaiso,El Quisco,17742,-
Valparaiso,El Tabo,14338,-
Valparaiso,Hijuelas,19099,-
Valparaiso,Isla de Pascua,8277,5
Valparaiso,Juan Fernandez,1033,-
Valparaiso,La Cruz,25321,-
Valparaiso,La Ligua,37739,-
Valparaiso,Limache,49931,4
Valparaiso,Llaillay,26533,-
Valparaiso,Los Andes,68093,-
Valparaiso,Nogales,23490,-
Valparaiso,Olmue,19266,-
Valparaiso,Panquehue,7633,-
Valparaiso,Papudo,6201,-
Valparaiso,Petorca,10558,5
Valparaiso,Puchuncavi,20071,-
Valparaiso,Putaendo,17645,-
Valparaiso,Quillota,97572,9
Valparaiso,Quilpue,167085,12
Valparaiso,Quintero,36135,-
Valparaiso,Rinconada,11263,-
Valparaiso,San Antonio,96761,9
Valparaiso,San Esteban,20643,-
Valparaiso,San Felipe,83494,5
Valparaiso,Santa Maria,16367,-
Valparaiso,Santo Domingo,11934,-
Valparaiso,Valparaiso,315732,26
Valparaiso,Villa Alemana,139310,11
Valparaiso,Vina del Mar,361371,53
Valparaiso,Zapallar,7994,-
Metropolitana,Alhue,7405,-
Metropolitana,Buin,109641,20
Metropolitana,Calera de Tango,28525,7
Metropolitana,Cerrillos,88956,5
Metropolitana,Cerro Navia,142465,31
Metropolitana,Colina,180353,50
Metropolitana,Conchali,139195,32
Metropolitana,Curacavi,36430,8
Metropolitana,El Bosque,172000,37
Metropolitana,El Monte,40014,5
Metropolitana,Estacion Central,206792,36
Metropolitana,Huechuraba,112528,32
Metropolitana,Independencia,142065,26
Metropolitana,Isla de Maipo,40171,4
Metropolitana,La Cisterna,100434,20
Metropolitana,La Florida,402433,91
Metropolitana,La Granja,122557,24
Metropolitana,La Pintana,189335,18
Metropolitana,La Reina,100252,35
Metropolitana,Lampa,126898,14
Metropolitana,Las Condes,330759,258
Metropolitana,Lo Barnechea,124076,97
Metropolitana,Lo Espejo,103865,15
Metropolitana,Lo Prado,104403,25
Metropolitana,Macul,134635,34
Metropolitana,Maipu,578605,83
Metropolitana,Maria Pinto,14926,-
Metropolitana,Melipilla,141612,11
Metropolitana,Nunoa,250192,107
Metropolitana,Padre Hurtado,74188,16
Metropolitana,Paine,82766,-
Metropolitana,Pedro Aguirre Cerda,107803,16
Metropolitana,Penaflor,101058,18
Metropolitana,Penalolen,266798,65
Metropolitana,Pirque,30433,4
Metropolitana,Providencia,157749,104
Metropolitana,Pudahuel,253139,44
Metropolitana,Puente Alto,645909,119
Metropolitana,Quilicura,254694,51
Metropolitana,Quinta Normal,136368,41
Metropolitana,Recoleta,190075,44
Metropolitana,Renca,160847,19
Metropolitana,San Bernardo,334836,74
Metropolitana,San Joaquin,103485,36
Metropolitana,San Jose de Maipo,18644,-
Metropolitana,San Miguel,133059,49
Metropolitana,San Pedro,11953,-
Metropolitana,San Ramon,86510,9
Metropolitana,Santiago,503147,234
Metropolitana,Talagante,81838,11
Metropolitana,Tiltil,21477,-
Metropolitana,Vitacura,96774,114
Del Libertador General Bernardo OHiggins,Chepica,15925,-
Del Libertador General Bernardo OHiggins,Chimbarongo,37696,-
Del Libertador General Bernardo OHiggins,Codegua,14096,-
Del Libertador General Bernardo OHiggins,Coinco,7831,-
Del Libertador General Bernardo OHiggins,Coltauco,21263,-
Del Libertador General Bernardo OHiggins,Donihue,22700,-
Del Libertador General Bernardo OHiggins,Graneros,36504,-
Del Libertador General Bernardo OHiggins,La Estrella,3114,-
Del Libertador General Bernardo OHiggins,Las Cabras,26749,-
Del Libertador General Bernardo OHiggins,Litueche,6765,-
Del Libertador General Bernardo OHiggins,Lolol,7289,-
Del Libertador General Bernardo OHiggins,Machali,59913,8
Del Libertador General Bernardo OHiggins,Malloa,14163,-
Del Libertador General Bernardo OHiggins,Marchihue,7632,-
Del Libertador General Bernardo OHiggins,Mostazal,27462,-
Del Libertador General Bernardo OHiggins,Nancagua,19141,-
Del Libertador General Bernardo OHiggins,Navidad,6904,-
Del Libertador General Bernardo OHiggins,Olivar,14624,-
Del Libertador General Bernardo OHiggins,Palmilla,13299,-
