Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,701,47,43,4,8,062%
Tarapacá,2682,88,76,12,28,236%
Antofagasta,2716,67,61,6,36,239%
Atacama,242,6,6,0,0,021%
Coquimbo,718,31,29,2,4,063%
Valparaíso,3769,174,151,23,77,332%
Metropolitana,92191,3997,3707,290,961,8113%
O'Higgins,931,88,85,3,20,082%
Maule,1595,214,181,33,19,140%
Ñuble,1329,39,30,9,24,117%
Biobío,2215,133,118,15,11,195%
Araucania,2173,32,29,3,47,191%
Los Ríos,372,4,4,0,8,033%
Los Lagos,913,19,14,5,13,080%
Aysén,18,0,0,0,0,002%
Magallanes,1063,3,3,0,19,094%
Total,113628,4942,4537,405,1275,100%
