Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica y Parinacota,782,46,40,6,9,064%
Tarapacá,2965,155,139,16,28,242%
Antofagasta,2924,62,53,9,42,239%
Atacama,269,11,8,3,0,022%
Coquimbo,832,60,37,23,5,068%
Valparaíso,4266,249,233,16,88,348%
Metropolitana,99066,3176,2888,288,1105,8087%
O'Higgins,1016,49,45,4,22,083%
Maule,1834,102,96,6,24,150%
Ñuble,1429,57,52,5,24,117%
Biobío,2379,78,67,11,13,194%
Araucania,2288,106,89,17,48,187%
Los Ríos,390,11,7,4,8,032%
Los Lagos,968,42,35,7,13,079%
Aysén,19,0,0,0,0,002%
Magallanes,1072,3,1,2,19,088%
Total,122499,4207,3790,417,1448,100%
