Comorbilidad,Hospitalización,Fecha,Casos confirmados
Hipertensión arterial,NO,2020-05-25,6350.0
Diabetes,NO,2020-05-25,2770.0
Obesidad,NO,2020-05-25,1351.0
Enfermedad cardiovascular,NO,2020-05-25,540.0
Cardiopatía crónica,NO,2020-05-25,405.0
Enfermedad pulmonar crónica,NO,2020-05-25,405.0
Enfermedad renal crónica,NO,2020-05-25,203.0
Asma,NO,2020-05-25,1554.0
Enfermedad neurológica crónica,NO,2020-05-25,203.0
Inmunocomprometido,NO,2020-05-25,68.0
Enfermedad hepática crónica,NO,2020-05-25,68.0
Hipertensión arterial,SI,2020-05-25,1861.0
Diabetes,SI,2020-05-25,1262.0
Obesidad,SI,2020-05-25,380.0
Enfermedad cardiovascular,SI,2020-05-25,296.0
Cardiopatía crónica,SI,2020-05-25,328.0
Enfermedad pulmonar crónica,SI,2020-05-25,309.0
Enfermedad renal crónica,SI,2020-05-25,283.0
Asma,SI,2020-05-25,232.0
Enfermedad neurológica crónica,SI,2020-05-25,193.0
Inmunocomprometido,SI,2020-05-25,84.0
Enfermedad hepática crónica,SI,2020-05-25,71.0
